date,r_btc,r_btc_lag,log_volume_btc,google_trends,r_sp500,vix,r_dxy,r_gold,d_yield_10y,epu
2017-01-29,-0.004691002984022759,0.11230178567016466,12.299745121392808,4,0.010249761218559252,10.972,-0.002086749900175699,-0.01378871134077818,0.010000000000000231,247.2975415
2017-02-05,0.10534958066091529,-0.004691002984022759,12.618182296357007,4,0.0011759327153739291,11.716,-0.006586850162285425,0.026898516941739902,0.0,186.2873277
2017-02-12,-0.01947790883898633,0.10534958066091529,12.870485933517019,4,0.008106687942362415,11.168,0.009269015382224834,0.012293068065497289,-0.08000000000000007,186.2873277
2017-02-19,0.05124813531470879,-0.01947790883898633,12.314523381534977,5,0.01504109945104122,11.406,0.0014869891215783665,0.002585860026757253,0.009999999999999787,186.2873277
2017-02-26,0.11062833998602005,0.05124813531470879,12.864913019896123,6,0.006824229090391509,11.6225,0.001385864407119718,0.015376293975475103,-0.10999999999999988,186.2873277
2017-03-05,0.0815910002689279,0.11062833998602005,12.75656119235254,6,0.00665209593421924,12.064,0.004441600353281983,-0.025597018899378234,0.18000000000000016,236.0218168
2017-03-12,-0.03693886292238142,0.0815910002689279,13.274431891027263,6,-0.004415760902315485,11.702,-0.0028601035325997648,-0.02067704128248281,0.08999999999999986,236.0218168
2017-03-19,-0.18067406965422586,-0.03693886292238142,13.54444958652873,5,0.0023574987764755193,11.554,-0.009427011018758749,0.023689214358206805,-0.08000000000000007,236.0218168
2017-03-26,-0.053426359234623244,-0.18067406965422586,13.416241216393122,5,-0.014485027306575088,12.540000000000001,-0.006702370911124992,0.014766072945560055,-0.10000000000000009,236.0218168
2017-04-02,0.12402170121359954,-0.053426359234623244,13.17634006826106,5,0.007946161172526462,11.872,0.007200751185582147,0.002160260071218838,0.0,176.4000371
2017-04-09,0.09295473964155898,0.12402170121359954,13.059657841988205,5,-0.0030520137293339428,12.464,0.008237033621442964,0.004863473808088879,-0.020000000000000018,176.4000371
2017-04-16,-0.02309959497920644,0.09295473964155898,12.552424489145832,5,-0.011356966060351413,15.2125,-0.006146544581798048,0.02451218649328417,-0.13999999999999968,176.4000371
2017-04-23,0.05962440168463579,-0.02309959497920644,12.693271338665008,5,0.008465930502233656,14.558000000000002,-0.005784398296567718,0.0004655493566392307,0.0,176.4000371
2017-04-30,0.07908771839849618,0.05962440168463579,12.800200275066967,7,0.01500165470192306,10.725999999999999,-0.009345392840864428,-0.016266879375675176,0.04999999999999982,176.4000371
2017-05-07,0.1395786086928706,0.07908771839849618,13.369567146267359,9,0.006313389842474544,10.482,-0.004046540675935548,-0.03318675827624664,0.06999999999999984,144.0981127
2017-05-14,0.13135777624106715,0.1395786086928706,13.3978716489244,11,-0.003507164047487769,10.187999999999999,0.006063687098675318,0.0006518373896570052,-0.029999999999999805,144.0981127
2017-05-21,0.14255911959067843,0.13135777624106715,13.289402077333765,19,-0.0038553456797105535,12.672,-0.021488682649700976,0.02087691185501667,-0.10000000000000009,144.0981127
2017-05-28,0.06843830362788698,0.14255911959067843,14.019022667329256,12,0.01421597677200071,10.294,0.003083567043988066,0.011500305199042792,0.020000000000000018,144.0981127
2017-06-04,0.14243974500475023,0.06843830362788698,13.410725218760867,12,0.009598623614252353,10.1075,-0.007416597655049595,0.009496598467049274,-0.10000000000000009,171.7162706
2017-06-11,0.16382151565163725,0.14243974500475023,13.505746462366291,13,-0.0029973949231126037,10.354,0.0056704105748116365,-0.006897660205594608,0.06000000000000005,171.7162706
2017-06-18,-0.15769949088295562,0.16382151565163725,13.88954138428519,10,0.0005755395842322177,10.760000000000002,-0.0011315127473772002,-0.011788577518661646,-0.04999999999999982,171.7162706
2017-06-25,0.000787215659011456,-0.15769949088295562,13.334777574505452,12,0.0020938117061357845,10.495999999999999,0.0010287008416681477,-7.958931915526301e-05,-0.010000000000000231,171.7162706
2017-07-02,-0.002008625948561643,0.000787215659011456,13.484099491984205,9,-0.006129562355263841,10.722,-0.016901226614188577,-0.011285988444860328,0.16000000000000014,164.959101
2017-07-09,-0.009944811451881143,-0.002008625948561643,13.118556139061376,10,0.0007424824001532567,11.504999999999999,0.0039657743480813,-0.02659210525382866,0.08000000000000007,164.959101
2017-07-16,-0.2715928283027995,-0.009944811451881143,13.740237291734445,12,0.013962761390461804,10.342,-0.008997758967373952,0.014607185702873,-0.06000000000000005,164.959101
2017-07-23,0.3647504980082744,-0.2715928283027995,14.053014503471774,11,0.005353027908829712,9.687999999999999,-0.01365028337588702,0.02207630744758696,-0.08999999999999986,164.959101
2017-07-30,0.003584947077826002,0.3647504980082744,13.634396272125384,15,-0.0001617926630557692,9.772,-0.006413018986096787,0.016125556916591677,0.05999999999999961,164.959101
2017-08-06,0.1555181573028215,0.003584947077826002,13.38937834901032,15,0.0018994125615965373,10.219999999999999,0.0029978609175654435,-0.008425578408341336,-0.029999999999999805,140.6259307
2017-08-13,0.22872202207866868,0.1555181573028215,13.5182494190655,19,-0.01443672010345454,12.709999999999999,-0.005037254100121216,0.022982329436333136,-0.08000000000000007,140.6259307
2017-08-20,0.0009841067565866187,0.22872202207866868,13.719770285683438,16,-0.006451767843901045,13.184000000000001,0.0038605946072453722,-0.0018564361767258403,0.0,140.6259307
2017-08-27,0.06640259195309417,0.0009841067565866187,13.3053180670607,17,0.007188808250699823,12.059999999999999,-0.007412613841549582,0.004865813809593235,-0.020000000000000018,140.6259307
2017-09-03,0.05964686502661871,0.06640259195309417,13.433737562112897,18,0.013618927082245965,10.992,0.0007545136439868409,0.024732075185004563,-0.009999999999999787,157.6540748
2017-09-10,-0.08290291504805136,0.05964686502661871,13.682893033349435,21,-0.00615635804276186,11.8825,-0.015856109783285843,0.01551343761487233,-0.10000000000000009,157.6540748
2017-09-17,-0.1404357603331629,-0.08290291504805136,14.161869474190892,16,0.0156404349182263,10.484,0.005676251459359514,-0.019429695067849542,0.14000000000000012,157.6540748
2017-09-24,-0.006007820057603132,-0.1404357603331629,13.507802633303486,12,0.0007996162268368961,9.873999999999999,0.0032601637221977837,-0.021124055385697137,0.05999999999999961,157.6540748
2017-10-01,0.1827986072681261,-0.006007820057603132,13.303267263110662,12,0.006850433034903021,9.862,0.0098246404285181,-0.00983627184754649,0.07000000000000028,144.5092377
2017-10-08,0.04628771428634542,0.1827986072681261,13.025896528916622,19,0.0117980337456348,9.486,0.007705517578088041,-0.007735320048420549,0.040000000000000036,144.5092377
2017-10-15,0.20977972062893824,0.04628771428634542,13.636336044032188,20,0.0015286627180647989,9.956,-0.007598088883780429,0.02302873621791885,-0.0900000000000003,144.5092377
2017-10-22,0.05052912702673918,0.20977972062893824,13.420851849821096,20,0.008579726602696234,10.062000000000001,0.006531422115978023,-0.018645853722415565,0.11000000000000032,144.5092377
2017-10-29,0.02714009486306213,0.05052912702673918,13.567843754717368,26,0.0022884636560676383,10.912,0.012936242323186225,-0.006817406806272546,0.029999999999999805,144.5092377
