Year;Month;GEPU_current;GEPU_ppp
2010;9;133,2687606;126,9325303
2010;10;126,8333687;122,4835853
2010;11;131,4875355;127,3967412
2010;12;134,7619262;138,705342
2011;1;114,318617;122,8220915
2011;2;96,57907686;97,03994203
2011;3;130,3607128;130,7574819
2011;4;118,8275157;122,7145546
2011;5;93,95926548;93,7317964
2011;6;124,5244223;123,4075019
2011;7;153,8288598;150,4897085
2011;8;216,7571184;214,3292327
2011;9;194,4102278;193,5056138
2011;10;166,3375969;171,6096589
2011;11;191,7761114;194,1200887
2011;12;178,0790976;184,8633224
2012;1;154,606024;157,4103645
2012;2;141,1241224;146,9292622
2012;3;132,4101463;145,4045333
2012;4;129,8384238;135,0679969
2012;5;159,6971838;164,3163482
2012;6;183,1848726;186,994755
2012;7;152,0852124;151,4488246
2012;8;116,9683969;117,9418225
2012;9;153,5869385;154,8690043
2012;10;151,1216658;150,4968791
2012;11;165,7563534;159,6777971
2012;12;170,1638084;168,5665353
2013;1;167,124653;164,4800152
2013;2;122,7571692;122,2500861
2013;3;145,5685986;144,3381786
2013;4;136,2057339;138,5681752
2013;5;107,7569194;107,373601
2013;6;127,5160614;128,9385971
2013;7;107,9589006;107,4570465
2013;8;119,314018;126,2155871
2013;9;138,6233897;140,2353852
2013;10;168,4806182;165,6001251
2013;11;103,8391665;106,7454152
2013;12;122,64177;126,5166022
2014;1;115,2575588;118,5646766
2014;2;101,1472734;99,95335341
2014;3;114,6523789;113,274787
2014;4;110,4501502;116,9857403
2014;5;106,8390736;110,0210071
2014;6;91,14821141;95,23222135
2014;7;94,17998565;98,63376285
2014;8;96,8507197;104,0928313
2014;9;121,7333099;127,2664035
2014;10;112,5908377;113,6784471
2014;11;119,3640652;127,1133237
2014;12;111,2967395;113,3508407
2015;1;129,0586269;133,9386088
2015;2;115,6155952;121,8015893
2015;3;111,3781448;115,9300541
2015;4;100,978142;99,67836721
2015;5;104,4621043;100,7768579
2015;6;119,2116944;117,5977529
2015;7;123,095816;121,4457753
2015;8;119,817146;116,4809042
2015;9;153,6874811;152,9517237
2015;10;115,968982;114,602095
2015;11;105,3314588;104,8612586
2015;12;112,569505;115,9357075
2016;1;144,5266577;139,964254
2016;2;147,4830021;144,8266175
2016;3;159,2897729;160,7291506
2016;4;142,2960012;144,8379381
2016;5;125,8135003;122,2084108
2016;6;231,0557334;220,1147415
2016;7;204,9228587;188,7607739
2016;8;134,7416305;135,3258804
2016;9;135,5084335;137,5261376
2016;10;126,4360771;121,6111652
2016;11;228,7257195;213,818099
2016;12;184,9836426;185,3912373
2017;1;247,2975415;252,556793
2017;2;186,2873277;188,4748212
